,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
0,NSEFO,36700,1,061NSETEST,061NSETEST36DECFUT,FUTSTK,061NSETEST-FUTSTK,2.6332E+12,220,180,100001,0.05,50,1,1.1001E+12,061NSETEST,2036-11-27T14:30:00,061NSETEST 27NOV2036,1,1,061NSETEST36DECFUT
1,NSEFO,35839,1,CDSL,CDSL25FEBFUT,FUTSTK,CDSL-FUTSTK,2.5058E+12,1958.4,1602.35,14001,0.05,350,1,1.1001E+12,CDSL,2025-02-27T14:30:00,CDSL 27FEB2025,1,1,CDSL25FEBFUT
2,NSEFO,41027,1,IDEA,IDEA25JANFUT,FUTSTK,IDEA-FUTSTK,2.503E+12,8.77,7.17,2000001,0.01,40000,1,1.1001E+12,IDEA,2025-01-30T14:30:00,IDEA 30JAN2025,1,1,IDEA25JANFUT
3,NSEFO,39175,1,KPITTECH,KPITTECH25JANFUT,FUTSTK,KPITTECH-FUTSTK,2.503E+12,1616.75,1322.8,16001,0.05,400,1,1.1001E+12,KPITTECH,2025-01-30T14:30:00,KPITTECH 30JAN2025,1,1,KPITTECH25JANFUT
4,NSEFO,40361,1,BSOFT,BSOFT25JANFUT,FUTSTK,BSOFT-FUTSTK,2.503E+12,620.95,508.05,40001,0.05,1000,1,1.1001E+12,BSOFT,2025-01-30T14:30:00,BSOFT 30JAN2025,1,1,BSOFT25JANFUT
5,NSEFO,39181,1,LICHSGFIN,LICHSGFIN25FEBFUT,FUTSTK,LICHSGFIN-FUTSTK,2.5058E+12,665.75,544.7,40001,0.05,1000,1,1.1001E+12,LICHSGFIN,2025-02-27T14:30:00,LICHSGFIN 27FEB2025,1,1,LICHSGFIN25FEBFUT
6,NSEFO,42521,1,TATAPOWER,TATAPOWER25JANFUT,FUTSTK,TATAPOWER-FUTSTK,2.503E+12,434.8,355.75,54001,0.05,1350,1,1.1001E+12,TATAPOWER,2025-01-30T14:30:00,TATAPOWER 30JAN2025,1,1,TATAPOWER25JANFUT
7,NSEFO,39366,1,HINDALCO,HINDALCO25MARFUT,FUTSTK,HINDALCO-FUTSTK,2.5086E+12,675.4,552.6,42001,0.05,1400,1,1.1001E+12,HINDALCO,2025-03-27T14:30:00,HINDALCO 27MAR2025,1,1,HINDALCO25MARFUT
8,NSEFO,43269,1,PEL,PEL25MARFUT,FUTSTK,PEL-FUTSTK,2.5086E+12,1234.65,1010.2,22501,0.05,750,1,1.1001E+12,PEL,2025-03-27T14:30:00,PEL 27MAR2025,1,1,PEL25MARFUT
9,NSEFO,43330,1,RAMCOCEM,RAMCOCEM25MARFUT,FUTSTK,RAMCOCEM-FUTSTK,2.5086E+12,1079.3,883.05,25501,0.05,850,1,1.1001E+12,RAMCOCEM,2025-03-27T14:30:00,RAMCOCEM 27MAR2025,1,1,RAMCOCEM25MARFUT
10,NSEFO,35001,1,NIFTY,NIFTY25MARFUT,FUTIDX,NIFTY-FUTIDX,2.5086E+12,26503.4,21684.6,1801,0.05,75,1,-1,Nifty 50,2025-03-27T14:30:00,NIFTY 27MAR2025,1,1,NIFTY25MARFUT
11,NSEFO,39179,1,LALPATHLAB,LALPATHLAB25FEBFUT,FUTSTK,LALPATHLAB-FUTSTK,2.5058E+12,3325.55,2720.9,7501,0.05,150,1,1.1001E+12,LALPATHLAB,2025-02-27T14:30:00,LALPATHLAB 27FEB2025,1,1,LALPATHLAB25FEBFUT
12,NSEFO,41321,1,SONACOMS,SONACOMS25FEBFUT,FUTSTK,SONACOMS-FUTSTK,2.5058E+12,661.2,540.95,38751,0.05,775,1,1.1001E+12,SONACOMS,2025-02-27T14:30:00,SONACOMS 27FEB2025,1,1,SONACOMS25FEBFUT
13,NSEFO,38746,1,HINDALCO,HINDALCO25FEBFUT,FUTSTK,HINDALCO-FUTSTK,2.5058E+12,671.7,549.55,42001,0.05,1400,1,1.1001E+12,HINDALCO,2025-02-27T14:30:00,HINDALCO 27FEB2025,1,1,HINDALCO25FEBFUT
14,NSEFO,42685,1,WIPRO,WIPRO25JANFUT,FUTSTK,WIPRO-FUTSTK,2.503E+12,333.8,273.15,90001,0.05,3000,1,1.1001E+12,WIPRO,2025-01-30T14:30:00,WIPRO 30JAN2025,1,1,WIPRO25JANFUT
15,NSEFO,39203,1,MAXHEALTH,MAXHEALTH25FEBFUT,FUTSTK,MAXHEALTH-FUTSTK,2.5058E+12,1255.3,1027.05,21001,0.05,525,1,1.1001E+12,MAXHEALTH,2025-02-27T14:30:00,MAXHEALTH 27FEB2025,1,1,MAXHEALTH25FEBFUT
16,NSEFO,43404,1,TRENT,TRENT25MARFUT,FUTSTK,TRENT-FUTSTK,2.5086E+12,7971.4,6522.05,3001,0.05,100,1,1.1001E+12,TRENT,2025-03-27T14:30:00,TRENT 27MAR2025,1,1,TRENT25MARFUT
