,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
0,BSEFO,840918,1,SENSEX50,SENSEX5025MARFUT,IF,SENSEX50-IF,12508400840918,27787.6,22735.3,1800,0.05,60,1,-1,SNSX50,2025-03-25T00:00:00,SENSEX50 25MAR2025,1,1,SENSEX5025MARFUT
1,BSEFO,842100,1,SENSEX,SENSEX25211FUT,IF,SENSEX-IF,12504200842100,86671.15,70912.75,500,0.05,20,1,-1,SENSEX,2025-02-11T00:00:00,SENSEX 11FEB2025,1,1,SENSEX25211FUT
2,BSEFO,821310,1,SENSEX,SENSEX25FEBFUT,IF,SENSEX-IF,12505600821310,86895.85,71096.6,500,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,SENSEX 25FEB2025,1,1,SENSEX25FEBFUT
3,BSEFO,842502,1,BANKEX,BANKEX25MARFUT,IF,BANKEX-IF,12508400842502,64582.2,52839.95,600,0.05,30,1,-1,BANKEX,2025-03-25T00:00:00,BANKEX 25MAR2025,1,1,BANKEX25MARFUT
4,BSEFO,822941,1,BANKEX,BANKEX25FEBFUT,IF,BANKEX-IF,12505600822941,64165.5,52499.05,600,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,BANKEX 25FEB2025,1,1,BANKEX25FEBFUT
5,BSEFO,825588,1,SENSEX,SENSEX25121FUT,IF,SENSEX-IF,12502100825588,86335.2,70637.85,500,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,SENSEX 21JAN2025,1,1,SENSEX25121FUT
6,BSEFO,1175050,1,SENSEX,SENSEX25103FUT,IF,SENSEX-IF,12500301175050,86180.9,70511.65,500,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,SENSEX 03JAN2025,1,1,SENSEX25103FUT
7,BSEFO,1165051,1,BANKEX,BANKEX25JANFUT,IF,BANKEX-IF,12502801165051,64019.95,52379.95,600,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,BANKEX 28JAN2025,1,1,BANKEX25JANFUT
8,BSEFO,823808,1,SENSEX50,SENSEX5025FEBFUT,IF,SENSEX50-IF,12505600823808,27644.05,22617.9,1800,0.05,60,1,-1,SNSX50,2025-02-25T00:00:00,SENSEX50 25FEB2025,1,1,SENSEX5025FEBFUT
9,BSEFO,1164591,1,SENSEX,SENSEX25JANFUT,IF,SENSEX-IF,12502801164591,86830.3,71042.95,500,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,SENSEX 28JAN2025,1,1,SENSEX25JANFUT
10,BSEFO,842068,1,SENSEX,SENSEX25MARFUT,IF,SENSEX-IF,12508400842068,87346.95,71465.7,500,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,SENSEX 25MAR2025,1,1,SENSEX25MARFUT
11,BSEFO,1166106,1,SENSEX50,SENSEX5025JANFUT,IF,SENSEX50-IF,12502801166106,27501.3,22501.05,1800,0.05,25,1,-1,SNSX50,2025-01-28T00:00:00,SENSEX50 28JAN2025,1,1,SENSEX5025JANFUT
12,BSEFO,839212,1,SENSEX,SENSEX25204FUT,IF,SENSEX-IF,12503500839212,86559.05,70821,500,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,SENSEX 04FEB2025,1,1,SENSEX25204FUT
13,BSEFO,822119,1,SENSEX,SENSEX25107FUT,IF,SENSEX-IF,12500700822119,86305.95,70613.95,500,0.05,20,1,-1,SENSEX,2025-01-07T00:00:00,SENSEX 07JAN2025,1,1,SENSEX25107FUT
14,BSEFO,823962,1,SENSEX,SENSEX25114FUT,IF,SENSEX-IF,12501400823962,86223.55,70546.5,500,0.05,20,1,-1,SENSEX,2025-01-14T00:00:00,SENSEX 14JAN2025,1,1,SENSEX25114FUT
